INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,FINNIFTY  ,01/11/2022,00017950.00,PE      ,00000000.70,00000000.70,00000000.05,00000000.10,000000000044760,           286040,             7151,             1451,     5134510702.00,          92702.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018000.00,CE      ,00000617.10,00000719.80,00000573.55,00000606.05,000000000006520,            10960,              274,              148,      204095758.00,        6815758.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018000.00,PE      ,00000000.70,00000000.70,00000000.05,00000000.10,000000000771320,          5393360,           134834,            15997,    97082282312.00,        1802312.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018050.00,CE      ,00000668.00,00000668.00,00000514.05,00000540.60,000000000004880,             1240,              031,              016,       23073452.00,         691452.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018050.00,PE      ,00000000.90,00000000.95,00000000.05,00000000.10,000000000067240,           769320,            19233,             3499,    13886530552.00,         304552.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018100.00,CE      ,00000519.40,00000623.50,00000471.50,00000508.15,000000000006000,            27000,              675,              236,      502554500.00,       13854500.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018100.00,PE      ,00000001.00,00000001.00,00000000.05,00000000.10,000000000323960,          5056680,           126417,            15528,    91527879612.00,        1971612.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018150.00,CE      ,00000466.65,00000530.00,00000439.05,00000454.35,000000000002280,             2560,              064,              047,       47667428.00,        1203428.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018150.00,PE      ,00000001.00,00000001.00,00000000.05,00000000.10,000000000107720,          1330960,            33274,             6892,    24157522220.00,         598220.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018200.00,CE      ,00000413.85,00000521.10,00000363.50,00000407.65,000000000008480,           123560,             3089,             1762,     2303236618.00,       54444618.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018200.00,PE      ,00000001.00,00000001.40,00000000.05,00000000.10,000000000638920,          9155080,           228877,            31422,   166626865016.00,        4409016.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018250.00,CE      ,00000380.15,00000476.25,00000312.45,00000346.65,000000000005600,            40400,             1010,              854,      752933826.00,       15633826.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018250.00,PE      ,00000001.05,00000001.30,00000000.05,00000000.10,000000000127160,          5309760,           132744,            24442,    96906031864.00,        2911864.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018300.00,CE      ,00000300.00,00000424.15,00000262.05,00000305.05,000000000036640,           373680,             9342,             7374,     6960017060.00,      121673060.00
